CampaignID,CampaignName,ChannelID,ProductID,Objective,StartDate,EndDate,Budget (₹)
CMP001,Republic Day Smartphone Sale,CH001,P001,Sales,10-01-2025,31-01-2025,1800000
CMP002,Back to College Laptop Offer,CH001,P002,Sales,01-06-2025,15-07-2025,2500000
CMP003,Smartwatch Fitness Challenge,CH003,P003,Product Launch,01-02-2025,15-03-2025,1200000
CMP004,Pulse Audio Fest,CH002,P005,Sales,10-03-2025,31-03-2025,1000000
CMP005,Upgrade to Pro Laptop,CH004,P002,Lead Generation,01-04-2025,15-05-2025,1500000
CMP006,Summer Gadget Bonanza,CH001,P004,Sales,15-04-2025,31-05-2025,1600000
CMP007,Pulse Power Days,CH002,P008,Sales,01-05-2025,20-05-2025,800000
CMP008,Work From Anywhere,CH004,P007,Brand Awareness,15-06-2025,31-07-2025,1800000
CMP009,Smart Living Starts Here,CH005,P010,Retargeting,15-02-2025,30-04-2025,700000
CMP010,Festival Electronics Carnival,CH001,P001,Sales,01-10-2025,15-11-2025,3500000
CMP011,Hear Every Beat,CH003,P006,Brand Awareness,01-07-2025,31-07-2025,900000
CMP012,Weekend Earbuds Flash Sale,CH002,P005,Sales,01-08-2025,20-08-2025,1100000
CMP013,Stay Charged Always,CH001,P009,Sales,15-08-2025,15-09-2025,750000
CMP014,Fitness Made Smarter,CH003,P003,Lead Generation,01-09-2025,10-10-2025,1300000
CMP015,Pulse Rewards Exclusive,CH005,P001,Retargeting,15-09-2025,31-12-2025,650000
CMP016,Ultimate Gaming Upgrade,CH001,P007,Sales,01-11-2025,30-11-2025,2200000
CMP017,Tablet for Every Student,CH002,P004,Lead Generation,15-07-2025,31-08-2025,1200000
CMP018,Home Office Essentials,CH004,P010,Lead Generation,01-03-2025,15-04-2025,1400000
CMP019,Summer Sound Sale,CH003,P006,Sales,15-05-2025,30-06-2025,950000
CMP020,VIP Festival Offers,CH005,P002,Retargeting,15-10-2025,31-12-2025,850000
