Date,CampaignID,ProductID,RegionID,Device,Gender,AgeGroup,Spend,Impressions,Clicks,Leads,Orders,Revenue
10-01-2025,CMP001,P001,R001,Mobile,Male,35-44,5910.43,23219,1130,90,5,124995
10-01-2025,CMP001,P001,R002,Tablet,Female,25-34,5627.68,21103,814,65,3,74997
10-01-2025,CMP001,P001,R003,Mobile,Male,35-44,5910.7,23642,1227,98,3,74997
10-01-2025,CMP001,P001,R004,Mobile,Male,45-54,5125.09,18853,1038,83,3,74997
10-01-2025,CMP001,P001,R005,Mobile,Male,18-24,5796.76,20702,848,67,2,49998
10-01-2025,CMP001,P001,R006,Mobile,Female,18-24,5021.67,19369,839,67,3,74997
10-01-2025,CMP001,P001,R007,Mobile,Female,45-54,5439.53,19038,920,73,2,49998
10-01-2025,CMP001,P001,R008,Mobile,Female,55+,5714.42,18775,956,76,3,74997
10-01-2025,CMP001,P001,R009,Mobile,Male,45-54,5693.82,19318,956,76,2,49998
10-01-2025,CMP001,P001,R010,Mobile,Male,18-24,5400.12,18707,828,66,4,99996
10-01-2025,CMP001,P001,R011,Tablet,Male,35-44,5789.65,20884,1028,82,5,124995
10-01-2025,CMP001,P001,R012,Desktop,Male,35-44,4950.13,16971,917,73,4,99996
10-01-2025,CMP001,P001,R013,Mobile,Male,25-34,5133.79,18701,923,73,5,124995
10-01-2025,CMP001,P001,R014,Desktop,Male,55+,5380.08,18061,777,62,4,99996
10-01-2025,CMP001,P001,R015,Mobile,Female,18-24,5097.97,16386,912,72,4,99996
11-01-2025,CMP001,P001,R001,Mobile,Female,35-44,5844.51,22960,1018,81,3,74997
11-01-2025,CMP001,P001,R002,Mobile,Male,35-44,5392.08,20220,909,72,2,49998
11-01-2025,CMP001,P001,R003,Mobile,Male,25-34,5400.81,21603,958,76,5,124995
11-01-2025,CMP001,P001,R004,Mobile,Female,35-44,5934.53,21830,987,78,2,49998
11-01-2025,CMP001,P001,R005,Mobile,Female,35-44,5760.83,20574,885,70,2,49998
11-01-2025,CMP001,P001,R006,Desktop,Male,35-44,5881.31,22685,1104,88,4,99996
11-01-2025,CMP001,P001,R007,Mobile,Female,35-44,5334.74,18671,1163,93,7,174993
11-01-2025,CMP001,P001,R008,Tablet,Male,25-34,5999.67,19713,1096,87,5,124995
11-01-2025,CMP001,P001,R009,Mobile,Male,25-34,5510.12,18695,990,79,6,149994
11-01-2025,CMP001,P001,R010,Mobile,Male,25-34,5887.03,20394,974,77,5,124995
11-01-2025,CMP001,P001,R011,Desktop,Male,55+,5165.17,18631,904,72,3,74997
11-01-2025,CMP001,P001,R012,Desktop,Female,45-54,5697.79,19535,833,66,4,99996
11-01-2025,CMP001,P001,R013,Mobile,Male,25-34,5502.68,20045,911,72,3,74997
11-01-2025,CMP001,P001,R014,Desktop,Female,45-54,5610.65,18835,860,68,4,99996
11-01-2025,CMP001,P001,R015,Mobile,Female,25-34,5835.7,18757,1031,82,4,99996
12-01-2025,CMP001,P001,R001,Mobile,Male,25-34,5816.59,22850,912,72,4,99996
12-01-2025,CMP001,P001,R002,Mobile,Male,25-34,5635.37,21132,1102,88,3,74997
12-01-2025,CMP001,P001,R003,Desktop,Female,35-44,5912.6,23650,1287,102,5,124995
12-01-2025,CMP001,P001,R004,Desktop,Female,35-44,5051.78,18583,818,65,4,99996
12-01-2025,CMP001,P001,R005,Mobile,Male,25-34,5323.05,19010,751,60,3,74997
12-01-2025,CMP001,P001,R006,Mobile,Female,55+,4919.69,18975,992,79,5,124995
12-01-2025,CMP001,P001,R007,Mobile,Female,35-44,4932.82,17264,722,57,2,49998
12-01-2025,CMP001,P001,R008,Desktop,Male,35-44,5142.04,16895,878,70,2,49998
12-01-2025,CMP001,P001,R009,Mobile,Female,45-54,5816.5,19734,986,78,3,74997
12-01-2025,CMP001,P001,R010,Desktop,Male,25-34,5258.88,18218,730,58,2,49998
12-01-2025,CMP001,P001,R011,Mobile,Unknown,35-44,5525.67,19931,861,68,3,74997
12-01-2025,CMP001,P001,R012,Mobile,Female,25-34,4949.95,16971,937,74,5,124995
12-01-2025,CMP001,P001,R013,Mobile,Male,18-24,5438.74,19812,954,76,2,49998
12-01-2025,CMP001,P001,R014,Mobile,Male,45-54,5579.53,18731,1068,85,4,99996
12-01-2025,CMP001,P001,R015,Desktop,Male,35-44,5783.26,18589,927,74,3,74997
13-01-2025,CMP001,P001,R001,Desktop,Male,18-24,5353.85,21032,913,73,3,74997
13-01-2025,CMP001,P001,R002,Mobile,Female,55+,5687.41,21327,1224,97,5,124995
13-01-2025,CMP001,P001,R003,Desktop,Female,35-44,5712.61,22850,1339,107,5,124995
13-01-2025,CMP001,P001,R004,Mobile,Female,45-54,5944.95,21868,1195,95,6,149994
13-01-2025,CMP001,P001,R005,Tablet,Male,25-34,5298.48,18923,978,78,2,49998
13-01-2025,CMP001,P001,R006,Mobile,Male,45-54,5636.37,21740,1211,96,6,149994
13-01-2025,CMP001,P001,R007,Desktop,Female,18-24,5978.57,20925,1106,88,6,149994
13-01-2025,CMP001,P001,R008,Mobile,Male,18-24,5525.82,18156,714,57,2,49998
13-01-2025,CMP001,P001,R009,Desktop,Female,18-24,5515.74,18714,828,66,4,99996
